"","Year","Ukdebt","datatype"
"202",2001,34.3,"Historical Data"
"203",2002,34.23,"Historical Data"
"204",2003,35.76,"Historical Data"
"205",2004,38.66,"Historical Data"
"206",2005,40.01,"Historical Data"
"207",2006,41.02,"Historical Data"
"208",2007,42.21,"Historical Data"
"209",2008,50.27,"Historical Data"
"210",2009,64.2,"Historical Data"
"211",2010,75.74,"Historical Data"
"212",2011,81.32,"Historical Data"
"213",2012,84.82,"Historical Data"
"214",2013,86,"Historical Data"
"215",2014,87.94,"Historical Data"
"216",2015,88.98,"Historical Data"
"217",2015,88.98,"Pre-Crisis Forecast"
"218",2016,87,"Pre-Crisis Forecast"
"219",2017,84,"Pre-Crisis Forecast"
"220",2018,81,"Pre-Crisis Forecast"
"221",2019,83,"Pre-Crisis Forecast"
"222",2020,76,"Pre-Crisis Forecast"
"223",2015,88.98,"Post-Crisis Forecast"
"224",2016,120,"Post-Crisis Forecast"
"225",2017,117,"Post-Crisis Forecast"
"226",2018,114,"Post-Crisis Forecast"
"227",2019,112,"Post-Crisis Forecast"
"228",2020,113,"Post-Crisis Forecast"
